database,hydrogen_clean,,,,,,,
,,,,,,,,
Activity,Lanthanum strontium manganite ,,,,,,,
production amount,1,,,,,,,
reference product,Lanthanum strontium manganite ,,,,,,,
unit,kilogram,,,,,,,
type,process,,                                                                                                                                                                                                                                                                       ,,,,,
location,GLO,,,,,,,
Exchanges,,,,,,,,
name,amount,database,location,unit,type,reference product,categories,comment
Lanthanum strontium manganite ,1,hydrogen_clean,GLO,kilogram,production,Lanthanum strontium manganite ,,
market for lanthanum oxide,0.503584098,cutoff38,GLO,kilogram,technosphere,lanthanum oxide,,
market for manganese,0.086187151,cutoff38,GLO,kilogram,technosphere,manganese,,
market for strontium carbonate,0.551194166,cutoff38,GLO,kilogram,technosphere,strontium carbonate,,
"market for nitric acid, without water, in 50% solution state",1.3181,cutoff38,RoW,kilogram,technosphere,"nitric acid, without water, in 50% solution state",,
market for chloroacetic acid,1.667388123,cutoff38,RoW,kilogram,technosphere,chloroacetic acid,,
"market for ammonia, anhydrous, liquid",0.299953419,cutoff38,RoW,kilogram,technosphere,"ammonia, anhydrous, liquid",,
"market for water, deionised",8.833922261,cutoff38,RoW,kilogram,technosphere,"water, deionised",,
"market group for electricity, low voltage",15.68021201,cutoff38,GLO,kilowatt hour,technosphere,"electricity, low voltage",,
,,,,,,,,
Activity,"hydrogen production, gaseous, 30 bar, wind onshore, ae",,,,,,,
production amount,1,,,,,,,
reference product,"hydrogen, gaseous, 30 bar, wind onshore, ae",,,,,,,
type,process,,,,,,,
unit,kilogram,,,,,,,
location,CN,,,,,,,
comment,1 kg H2 produced using a AE electrolyzer,,,,,,,
Exchanges,,,,,,,,
name,amount,database,location,unit,type,reference product,categories,
"hydrogen production, gaseous, 30 bar, wind onshore, ae",1,hydrogen_clean,CN,kilogram,production,"hydrogen, gaseous, 30 bar, wind onshore, ae",,
"electrolyzer, AE, Balance of Plant",2.98884E-07,hydrogen_clean,CN,unit,technosphere,"electrolyzer, AE, Balance of Plant",,
"electrolyzer, AE, Stack",8.96652E-07,hydrogen_clean,CN,unit,technosphere,"electrolyzer, AE, Stack",,
market for potassium hydroxide,0.0037,cutoff38,GLO,kilogram,technosphere,potassium hydroxide,,
"electricity production, wind, 1-3MW turbine, onshore",49.75,cutoff38,CN-NM,kilowatt hour,technosphere,"electricity, high voltage",,
"market for water, deionised",12,cutoff38,RoW,kilogram,technosphere,"water, deionised",,
Oxygen,8,biosphere3,,kilogram,biosphere,,air,
"Water, cooling, unspecified natural origin",0.0881,biosphere3,,cubic meter,biosphere,,natural resource::in water,
,,,,,,,,
Activity,"hydrogen production, gaseous, 30 bar, wind onshore, pem",,,,,,,
production amount,1,,,,,,,
reference product,"hydrogen, gaseous, 30 bar, wind onshore, pem",,,,,,,
type,process,,,,,,,
unit,kilogram,,,,,,,
