scenario,region,variables,unit,2020,2025,2030,2035,2040,2045,2050
Business as usual - remind,CHA,Efficiency|AE|Stack|Steel,-,0.1,0.12,0.14,0.16,0.18,0.21,0.25
Ambitious - remind,CHA,Efficiency|AE|Stack|Steel,-,0.1,0.12,0.14,0.16,0.18,0.21,0.25
Very Ambitious - remind,CHA,Efficiency|AE|Stack|Steel,-,0.1,0.12,0.14,0.16,0.18,0.21,0.25
Business as usual - remind,LAM,Efficiency|AE|Stack|Steel,-,0.1,0.12,0.14,0.16,0.18,0.21,0.25
Ambitious - remind,LAM,Efficiency|AE|Stack|Steel,-,0.1,0.12,0.14,0.16,0.18,0.21,0.25
Very Ambitious - remind,LAM,Efficiency|AE|Stack|Steel,-,0.1,0.12,0.14,0.16,0.18,0.21,0.25
Business as usual - remind,CAZ,Efficiency|AE|Stack|Steel,-,0.1,0.12,0.14,0.16,0.18,0.21,0.25
Ambitious - remind,CAZ,Efficiency|AE|Stack|Steel,-,0.1,0.12,0.14,0.16,0.18,0.21,0.25
Very Ambitious - remind,CAZ,Efficiency|AE|Stack|Steel,-,0.1,0.12,0.14,0.16,0.18,0.21,0.25
Business as usual - remind,NEU,Efficiency|AE|Stack|Steel,-,0.1,0.12,0.14,0.16,0.18,0.21,0.25
Ambitious - remind,NEU,Efficiency|AE|Stack|Steel,-,0.1,0.12,0.14,0.16,0.18,0.21,0.25
Very Ambitious - remind,NEU,Efficiency|AE|Stack|Steel,-,0.1,0.12,0.14,0.16,0.18,0.21,0.25
Business as usual - remind,SSA,Efficiency|AE|Stack|Steel,-,0.1,0.12,0.14,0.16,0.18,0.21,0.25
Ambitious - remind,SSA,Efficiency|AE|Stack|Steel,-,0.1,0.12,0.14,0.16,0.18,0.21,0.25
Very Ambitious - remind,SSA,Efficiency|AE|Stack|Steel,-,0.1,0.12,0.14,0.16,0.18,0.21,0.25
Business as usual - remind,IND,Efficiency|AE|Stack|Steel,-,0.1,0.12,0.14,0.16,0.18,0.21,0.25
Ambitious - remind,IND,Efficiency|AE|Stack|Steel,-,0.1,0.12,0.14,0.16,0.18,0.21,0.25
Very Ambitious - remind,IND,Efficiency|AE|Stack|Steel,-,0.1,0.12,0.14,0.16,0.18,0.21,0.25
Business as usual - remind,JPN,Efficiency|AE|Stack|Steel,-,0.1,0.12,0.14,0.16,0.18,0.21,0.25
Ambitious - remind,JPN,Efficiency|AE|Stack|Steel,-,0.1,0.12,0.14,0.16,0.18,0.21,0.25
Very Ambitious - remind,JPN,Efficiency|AE|Stack|Steel,-,0.1,0.12,0.14,0.16,0.18,0.21,0.25
